Gender,Age,Married,BankCustomer,Ethnicity,YearsEmployed,PriorDefault,Employed,DriversLicense,Approved
1,39.17,1,1,0,1.5,1,1,0,1
1,39.08,1,1,0,1.29,1,1,1,1
1,31.67,1,1,0,1.335,1,1,1,1
1,41.0,1,1,0,0.04,0,1,0,1
1,48.5,1,1,0,0.125,1,0,1,1
1,32.67,0,0,1,5.25,1,0,1,1
0,28.08,0,0,4,0.0,1,0,0,1
1,73.42,1,1,3,0.0,1,0,1,1
1,64.08,1,1,1,17.5,1,1,1,1
1,51.58,1,1,0,8.5,1,1,0,1
1,26.67,0,0,0,1.0,1,1,1,1
1,25.33,1,1,0,0.29,1,1,1,1
1,30.17,1,1,0,3.125,1,1,0,1
1,27.0,1,1,1,4.25,1,1,1,1
1,23.17,1,1,0,0.0,0,0,0,1
1,34.17,1,1,0,0.085,0,0,1,1
1,38.67,1,1,0,0.085,1,0,1,1
1,25.75,1,1,2,0.25,1,0,0,1
0,46.08,1,1,0,2.375,1,1,1,1
0,21.5,1,1,0,2.5,1,1,0,1
1,20.08,1,1,0,1.0,0,1,0,1
1,20.5,1,1,0,2.0,1,1,1,1
0,29.5,1,1,0,0.54,1,1,0,1
1,42.25,0,0,0,0.0,0,0,1,0
1,29.83,0,0,0,0.25,0,0,0,0
1,20.08,1,1,0,0.125,0,0,0,0
1,23.42,1,1,1,0.085,1,0,0,0
0,29.58,0,0,0,1.25,0,0,1,0
1,16.17,1,1,0,0.04,0,0,0,1
1,32.33,1,1,0,0.5,0,0,1,0
1,28.46,0,0,0,4.25,0,0,1,0
1,47.83,1,1,2,0.085,0,0,1,0
1,20.0,0,0,0,0.125,0,0,0,0
1,27.58,0,0,1,5.085,0,1,1,0
1,22.0,1,1,0,0.29,0,1,0,0
1,19.33,1,1,2,0.585,0,1,1,0
0,38.33,1,1,0,0.125,0,0,0,0
1,29.42,1,1,1,0.25,0,1,1,0
1,22.67,1,1,0,1.585,0,1,1,0
1,32.25,0,0,3,0.0,0,1,0,0
1,29.58,1,1,0,2.0,0,1,1,0
1,18.42,0,0,0,0.125,1,0,0,0
1,22.17,1,1,0,0.125,0,0,0,0
1,22.67,1,1,4,2.25,0,0,1,1
0,25.58,1,1,0,0.0,0,0,0,1
1,18.83,1,1,0,0.665,0,0,0,0
1,21.58,0,0,0,0.665,0,0,0,0
1,23.75,1,1,0,2.085,0,0,0,0
1,22.0,0,0,2,0.165,0,0,1,0
1,36.08,1,1,3,0.0,0,0,0,0
1,29.25,1,1,1,0.5,0,0,0,0
0,19.58,1,1,0,1.665,0,0,0,0
0,22.92,1,1,0,0.25,0,0,1,0
0,27.25,1,1,1,0.125,0,1,1,0
0,38.75,1,1,3,0.0,0,0,0,0
1,32.42,0,0,3,0.0,0,0,0,0
0,23.75,1,1,0,0.25,0,1,1,0
1,18.17,1,1,4,0.96,0,1,1,0
1,40.92,0,0,0,0.5,0,0,1,0
1,19.5,1,1,0,0.79,0,0,0,0
1,28.58,1,1,0,0.25,0,0,1,0
1,35.58,1,1,0,1.5,0,0,1,0
1,34.17,1,1,2,2.5,0,0,1,0
1,33.17,0,0,0,3.5,0,0,1,0
1,31.58,0,0,0,3.5,0,0,1,0
0,52.5,1,1,1,3.0,0,0,0,0
1,36.17,0,0,0,0.29,0,0,1,0
1,37.33,1,1,0,0.165,0,0,1,0
0,20.83,1,1,0,0.165,0,0,0,0
1,24.08,1,1,0,0.25,0,0,1,0
1,25.58,1,1,1,3.5,0,0,1,0
0,35.17,1,1,3,0.0,0,1,0,0
1,48.08,1,1,2,1.0,0,0,0,0
0,15.83,1,1,0,0.125,0,1,1,0
0,22.5,1,1,0,0.335,0,0,1,0
1,21.5,1,1,0,0.5,1,0,1,0
0,23.58,1,1,0,0.415,0,1,1,0
0,21.08,0,0,3,0.0,0,0,0,0
1,25.67,1,1,1,2.29,0,1,1,0
0,38.92,1,1,0,0.25,0,0,0,0
0,15.75,1,1,0,1.0,0,0,0,0
0,28.58,1,1,0,0.25,0,1,1,0
1,22.25,1,1,0,0.085,0,0,0,0
1,29.83,1,1,0,0.165,0,0,0,0
0,23.5,1,1,0,0.875,0,0,1,0
1,32.08,0,0,0,1.5,0,0,1,0
1,31.08,0,0,0,0.04,0,0,0,0
1,31.83,0,0,0,0.04,0,0,0,0
0,21.75,1,1,0,0.25,0,0,1,0
0,17.92,1,1,0,1.75,0,1,1,0
1,30.33,1,1,1,0.085,0,0,1,0
1,51.83,0,0,3,1.5,0,0,0,0
1,47.17,1,1,0,5.5,0,0,0,0
1,25.83,1,1,0,0.5,0,0,0,0
0,50.25,1,1,0,0.5,0,0,1,0
1,29.5,0,0,1,2.0,0,0,0,0
0,37.33,1,1,1,0.21,0,0,0,0
0,41.58,1,1,0,0.665,0,0,0,0
0,30.58,1,1,1,0.085,0,1,1,0
1,19.42,1,1,0,0.04,0,1,0,0
0,17.92,1,1,3,0.0,0,0,0,0
0,20.08,1,1,0,0.0,0,0,0,0
1,19.5,1,1,0,0.29,0,0,0,0
1,27.83,0,0,1,3.0,0,0,0,0
1,17.08,1,1,0,0.335,0,0,1,0
1,36.42,0,0,0,0.585,0,0,0,0
1,40.58,1,1,0,3.5,0,0,1,0
1,21.08,0,0,1,1.25,0,0,0,0
0,22.67,1,1,0,2.0,0,1,1,0
0,25.25,0,0,3,2.0,0,1,1,0
1,17.92,1,1,0,0.04,0,0,0,0
1,35.0,1,1,1,8.29,0,0,1,0
